time,delta
37.06,0
37.09,0
37.12,0
37.15,0
37.18,0
37.22,0
37.25,0
37.28,0
37.31,0
37.34,0
37.38,0
37.41,0
37.44,0
37.47,0
37.5,0
37.54,0
37.57,0
37.6,0
37.63,0
37.66,0
37.7,0
37.73,0
37.76,0
37.79,0
37.82,0
37.86,0
37.89,0
37.92,0
37.95,0
37.98,0
38.02,0
38.05,0
38.08,0
38.11,0
38.14,0
38.18,0
38.21,0
38.24,0
38.27,0
38.3,0
38.34,0
38.37,0
38.4,0
38.43,0
38.46,0
38.5,0
38.53,0
38.56,0
38.59,0
38.62,0
38.66,0
38.69,0
38.72,0
38.75,0
38.78,0
38.82,0
38.85,0
38.88,0
38.91,0
38.94,0
38.98,0
39.01,0
39.04,0
39.07,0
39.1,0
39.14,0
39.17,0
39.2,0
39.23,0
39.26,0
39.3,0
39.33,0
39.36,0
39.39,0
39.42,0
39.46,0
39.49,0
39.52,0
39.55,0
39.58,0
39.62,0
39.65,0
39.68,0
39.71,0
39.74,0
39.78,0
39.81,0
39.84,0
39.87,0
39.9,0
39.94,0
39.97,0
40.0,0
40.03,0
40.06,0
40.1,0
40.13,0
40.16,0
40.19,0
40.22,0
40.26,0
40.29,0
40.32,0
40.35,0
40.38,0
40.42,0
40.45,0
40.48,0
40.51,0
40.54,0
40.58,0
40.61,0
40.64,0
40.67,0
40.7,0
40.74,0
40.77,0
40.8,0
40.83,0
40.86,0
40.9,0
40.93,0
40.96,0
40.99,0
41.02,0
41.06,0
41.09,0
41.12,0
41.15,0
41.18,0
41.22,0
41.25,0
41.28,0
41.31,0
41.34,0
41.38,0
41.41,0
41.44,0
41.47,0
41.5,0
41.54,1
41.57,1
41.6,1
41.63,1
41.66,1
41.7,1
41.73,1
41.76,1
41.79,1
41.82,1
41.86,1
41.89,1
41.92,1
41.95,1
41.98,1
42.02,1
42.05,1
42.08,1
42.11,1
42.14,1
42.18,1
42.21,1
42.24,1
42.27,1
42.3,1
42.34,1
42.37,1
42.4,1
42.43,1
42.46,1
42.5,1
42.53,1
42.56,1
42.59,1
42.62,1
42.66,1
42.69,1
42.72,1
42.75,1
42.78,1
42.82,1
42.85,1
42.88,1
42.91,1
42.94,1
42.98,1
43.01,1
43.04,1
43.07,1
43.1,1
43.14,1
43.17,1
43.2,1
43.23,1
43.26,1
43.3,1
43.33,1
43.36,1
43.39,1
43.42,1
43.46,1
43.49,1
43.52,1
43.55,1
43.58,1
43.62,1
43.65,1
43.68,1
43.71,1
43.74,1
43.78,1
43.81,1
43.84,1
43.87,1
43.9,1
43.94,1
43.97,1
44.0,1
44.03,1
44.06,1
44.1,1
44.13,1
44.16,1
44.19,1
44.22,1
44.26,1
44.29,1
44.32,1
44.35,1
44.38,1
44.42,1
44.45,1
44.48,1
44.51,1
44.54,1
44.58,1
44.61,1
44.64,1
44.67,1
44.7,1
44.74,1
44.77,1
44.8,1
44.83,1
44.86,1
44.9,1
44.93,1
44.96,1
44.99,1
45.02,1
45.06,1
45.09,1
