time,psi
24.1,1.0
24.13,1.0
24.16,1.0
24.19,1.0
24.22,1.0
24.26,1.0
24.29,1.0
24.32,1.0
24.35,1.0
24.38,1.0
24.42,1.0
24.45,1.0
24.48,1.0
24.51,1.0
24.54,1.0
24.58,1.0
24.61,1.0
24.64,1.0
24.67,1.0
24.7,1.0
24.74,1.0
24.77,1.0
24.8,1.0
24.83,1.0
24.86,1.0
24.9,1.0
24.93,0.905
24.96,0.905
24.99,0.905
25.02,0.905
25.06,0.905
25.09,0.905
25.12,0.905
25.15,0.905
25.18,0.905
25.22,0.905
25.25,0.905
25.28,0.905
25.31,0.905
25.34,0.905
25.38,0.905
25.41,0.905
25.44,0.905
25.47,0.905
25.5,0.905
25.54,0.905
25.57,0.905
25.6,0.905
25.63,0.905
25.66,0.905
25.7,0.905
25.73,0.905
25.76,0.905
25.79,0.905
25.82,0.905
25.86,0.905
25.89,0.905
25.92,0.905
25.95,0.905
25.98,0.905
26.02,0.905
26.05,0.905
26.08,0.905
26.11,0.905
26.14,0.905
26.18,0.905
26.21,0.905
26.24,0.905
26.27,0.905
26.3,0.905
26.34,0.905
26.37,0.905
26.4,0.905
26.43,0.905
26.46,0.905
26.5,0.905
26.53,0.905
26.56,0.905
26.59,0.905
26.62,0.905
26.66,0.905
26.69,0.905
26.72,0.905
26.75,0.905
26.78,0.905
26.82,0.905
26.85,0.905
26.88,0.905
26.91,0.905
26.94,0.905
26.98,0.905
27.01,0.905
27.04,0.905
27.07,0.905
27.1,0.905
27.14,0.905
27.17,0.905
27.2,0.905
27.23,0.905
27.26,0.905
27.3,0.905
27.33,0.905
27.36,0.905
27.39,0.905
27.42,0.905
27.46,0.905
27.49,0.905
27.52,0.905
27.55,0.905
31.84,0.905
31.87,0.905
31.9,0.905
31.94,0.905
31.97,0.905
32.0,0.905
32.03,0.905
32.06,0.905
32.1,0.905
32.13,0.905
32.16,0.905
32.19,0.905
32.22,0.905
32.26,0.905
32.29,0.905
32.32,0.905
32.35,0.905
32.38,0.905
32.42,0.905
32.45,0.905
32.48,0.905
32.51,0.905
32.54,0.905
32.58,0.905
32.61,0.905
32.64,0.905
32.67,0.905
32.7,0.905
32.74,0.905
32.77,0.905
32.8,0.905
32.83,0.905
32.86,0.905
32.9,0.905
32.93,0.905
32.96,0.905
32.99,0.905
33.02,0.905
33.06,0.905
33.09,0.905
33.12,0.905
33.15,0.905
33.18,0.905
33.22,0.905
33.25,0.905
33.28,0.905
33.31,0.905
33.34,0.905
33.38,0.905
33.41,0.905
33.44,0.905
33.47,0.905
33.5,0.905
33.54,0.905
33.57,0.905
33.6,0.905
33.63,0.905
33.66,0.905
33.7,0.905
33.73,0.905
33.76,0.905
33.79,0.905
33.82,0.905
33.86,0.905
33.89,0.905
33.92,0.905
33.95,0.905
33.98,1.0
34.02,1.0
34.05,1.0
34.08,1.0
34.11,1.0
34.14,1.0
34.18,1.0
34.21,1.0
34.24,1.0
34.27,1.0
34.3,1.0
34.34,1.0
34.37,1.0
34.4,1.0
34.43,1.0
34.46,1.0
34.5,1.0
34.53,1.0
34.56,1.0
34.59,1.0
34.62,1.0
34.66,1.0
34.69,1.0
34.72,0.905
34.75,0.905
34.78,0.905
34.82,0.905
34.85,0.905
34.88,0.905
34.91,0.905
34.94,0.905
34.98,0.905
35.01,0.905
35.04,0.905
35.07,0.905
35.1,0.905
35.14,0.905
35.17,0.905
35.2,0.905
35.23,0.905
35.26,0.905
35.3,0.905
35.33,0.905
35.36,0.905
35.39,0.905
35.42,0.905
35.46,0.905
35.49,0.905
35.52,0.905
35.55,0.905
35.58,0.905
35.62,0.905
35.65,0.905
35.68,0.905
35.71,0.905
35.74,0.905
35.78,0.905
35.81,0.905
35.84,0.905
35.87,0.905
35.9,0.905
35.94,0.905
35.97,0.905
36.0,0.905
36.03,0.905
36.06,0.905
